"Document","DOI","Year","Local Citations","Global Citations","LC/GC Ratio (%)","Normalized Local Citations","Normalized Global Citations"
"MATTHEWS RB, 2007, LANDSCAPE ECOL","10.1007/s10980-007-9135-1","2007","34","465","7.31","35.93","13.25"
"MULLER B, 2013, ENVIRON MODELL SOFTW","10.1016/j.envsoft.2013.06.003","2013","33","185","17.84","41.18","8.30"
"SU HS, 2009, IEEE T AUTOMAT CONTR","10.1109/TAC.2008.2010897","2009","31","597","5.19","32.18","17.84"
"RAND W, 2011, INT J RES MARK","10.1016/j.ijresmar.2011.04.002","2011","30","221","13.57","31.68","8.41"
"LI HQ, 2015, IEEE T AUTOMAT CONTR","10.1109/TAC.2014.2365073","2015","28","319","8.78","46.30","17.85"
"LEBARON B, 1999, J ECON DYN CONTROL","10.1016/S0165-1889(98)00081-5","1999","23","352","6.53","27.13","7.68"
"BOERO R, 2005, JASSS-J ARTIF SOC S","","2005","23","122","18.85","17.58","2.84"
"MOSS S, 2008, JASSS-J ARTIF SOC S","","2008","22","100","22.00","27.36","0.68"
"SMAJGL A, 2011, ENVIRON MODELL SOFTW","10.1016/j.envsoft.2011.02.011","2011","22","123","17.89","23.23","4.68"
"SCHWARZ N, 2009, TECHNOL FORECAST SOC","10.1016/j.techfore.2008.03.024","2009","21","161","13.04","21.80","4.81"
"MOSS S, 2005, AM J SOCIOL","10.1086/427320","2005","16","102","15.69","12.23","2.38"
"CASTELLA JC, 2005, ECOL SOC","","2005","15","158","9.49","11.46","3.68"
"SHI H, 2006, PHYSICA D","10.1016/j.physd.2005.10.012","2006","15","141","10.64","21.94","4.26"
"FRISTON K, 2015, COGN NEUROSCI-UK","10.1080/17588928.2015.1020053","2015","13","245","5.31","21.50","13.71"
"HAPPE K, 2006, ECOL SOC","","2006","12","135","8.89","17.55","4.08"
"PAUL S, 2010, J ACOUST SOC AM","10.1121/1.3418685","2010","12","70","17.14","15.93","2.72"
"LORENZ J, 2010, COMPLEXITY","10.1002/cplx.20295","2010","11","89","12.36","14.60","3.45"
"FENG L, 2012, P NATL ACAD SCI USA","10.1073/pnas.1205013109","2012","11","96","11.46","14.61","4.17"
"JOO J, 2013, SIMUL MODEL PRACT TH","10.1016/j.simpat.2012.12.007","2013","11","74","14.86","13.73","3.32"
"FORTUNATO S, 2004, INT J MOD PHYS C","10.1142/S0129183104006728","2004","10","67","14.93","19.06","1.47"