Element;h_index;g_index;m_index;TC;NP;PY_start
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS;20;34;0,952;1468;96;2002
PHYSICAL REVIEW E;20;36;0,833;1402;54;1999
PLOS ONE;19;32;1,267;1339;89;2008
JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION;18;31;0,818;1380;120;2001
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;16;20;0,842;1063;20;2004
ENVIRONMENTAL MODELLING & SOFTWARE;15;17;0,750;1041;17;2003
IEEE TRANSACTIONS ON AUTOMATIC CONTROL;15;24;1,000;2073;24;2008
ECOLOGICAL MODELLING;14;21;0,500;478;24;1995
JOURNAL OF ECONOMIC DYNAMICS & CONTROL;14;18;0,519;1112;18;1996
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES;14;17;1,556;647;17;2014
INTERNATIONAL JOURNAL OF CONTROL;13;22;0,929;957;22;2009
PLOS COMPUTATIONAL BIOLOGY;13;23;0,722;787;23;2005
AUTOMATICA;11;14;0,733;739;14;2008
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS;11;21;0,478;633;21;2000
CONSTRUCTION AND BUILDING MATERIALS;11;15;0,579;488;15;2004
NEUROCOMPUTING;11;18;0,733;355;22;2008
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS;10;13;0,769;315;13;2010
EXPERT SYSTEMS WITH APPLICATIONS;10;15;0,476;310;15;2002
IEEE ACCESS;10;14;1,429;272;39;2016
IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS;10;16;1,000;430;16;2013
IET CONTROL THEORY AND APPLICATIONS;10;18;0,769;502;18;2010
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL;10;16;0,909;360;16;2012
JOURNAL OF APPLIED POLYMER SCIENCE;10;13;0,323;218;13;1992
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION;10;14;0,370;229;18;1996
JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT;10;14;0,667;253;24;2008
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;10;14;0,667;212;14;2008
JOURNAL OF THEORETICAL BIOLOGY;10;18;0,357;334;23;1995
MACROMOLECULES;10;12;0,370;840;12;1996
SCIENTIFIC REPORTS;10;16;1,111;303;28;2014
SIMULATION MODELLING PRACTICE AND THEORY;10;18;0,476;329;20;2002
ADAPTIVE BEHAVIOR;9;17;0,333;302;19;1996
EUROPEAN PHYSICAL JOURNAL B;9;11;0,500;146;15;2005
IEEE TRANSACTIONS ON CYBERNETICS;9;16;1,800;276;16;2018
INFORMATION SCIENCES;9;19;0,600;369;19;2008
JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS;9;12;0,409;162;13;2001
JOURNAL OF THE ROYAL SOCIETY INTERFACE;9;11;0,750;288;11;2011
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;9;12;0,375;291;12;1999
CHAOS SOLITONS & FRACTALS;8;16;0,471;268;17;2006
COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY;8;13;0,533;197;20;2008
COMPUTATIONAL ECONOMICS;8;12;0,615;158;15;2010
ECOLOGY AND SOCIETY;8;9;0,444;548;9;2005
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE;8;11;0,533;182;11;2008
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE;8;13;0,444;181;14;2005
NONLINEAR DYNAMICS;8;13;0,889;269;13;2014
PHYSICA D-NONLINEAR PHENOMENA;8;9;0,421;344;9;2004
SAFETY SCIENCE;8;12;0,727;370;12;2012
ARTIFICIAL INTELLIGENCE;7;9;0,241;442;9;1994
COGNITIVE SYSTEMS RESEARCH;7;9;0,538;90;9;2010
ENVIRONMENT AND PLANNING B-PLANNING & DESIGN;7;8;0,389;160;8;2005
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH;7;10;0,333;248;10;2002
INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS;7;10;0,538;122;17;2010
INTERNATIONAL JOURNAL OF MODERN PHYSICS C;7;20;0,368;411;23;2004
JOURNAL OF ENVIRONMENTAL MANAGEMENT;7;8;0,292;297;8;1999
POLYMER ENGINEERING AND SCIENCE;7;10;0,333;332;10;2002
SYSTEMS & CONTROL LETTERS;7;8;0,538;432;8;2010
ADVANCES IN COMPLEX SYSTEMS;6;12;0,353;210;12;2006
ASIAN JOURNAL OF CONTROL;6;7;0,400;173;7;2008
BIOLOGICAL CYBERNETICS;6;7;0,429;443;7;2009
CHAOS;6;10;0,316;111;10;2004
COMPLEXITY;6;14;0,462;233;21;2010
ENTROPY;6;8;0,600;98;8;2013
FRONTIERS IN PSYCHOLOGY;6;11;0,545;297;11;2012
IEEE TRANSACTIONS ON CONTROL OF NETWORK SYSTEMS;6;10;0,857;154;10;2016
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS;6;6;0,545;400;6;2012
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS;6;7;0,273;273;7;2001
INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH;6;8;0,353;187;8;2006
ISIJ INTERNATIONAL;6;10;0,316;111;11;2004
JOURNAL OF ECONOMIC PSYCHOLOGY;6;7;0,194;109;7;1992
JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING;6;8;0,333;296;8;2005
MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES;6;8;0,462;113;8;2010
SENSORS;6;7;0,667;70;11;2014
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL;6;15;0,333;337;15;2005
STATISTICS IN MEDICINE;6;6;0,316;123;6;2004
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE;6;6;0,429;323;6;2009
ANIMAL BEHAVIOUR;5;6;0,278;158;6;2005
APPLIED ENERGY;5;5;0,417;179;5;2011
ARTIFICIAL LIFE;5;7;0,217;143;7;2000
BEHAVIORAL ECOLOGY;5;5;0,294;78;5;2006
CHEMICAL ENGINEERING SCIENCE;5;5;0,161;240;5;1992
CLINICAL THERAPEUTICS;5;5;0,357;110;5;2009
COMPUTATIONAL INTELLIGENCE;5;6;0,313;41;6;2007
DECISION SUPPORT SYSTEMS;5;6;0,278;84;6;2005
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS;5;6;0,455;279;6;2012
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION;5;5;0,208;174;5;1999
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS;5;8;0,333;122;8;2008
IEEE TRANSACTIONS ON POWER SYSTEMS;5;6;0,294;88;6;2006
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY;5;5;0,556;46;5;2014
JOURNAL OF HAZARDOUS MATERIALS;5;6;0,167;216;6;1993
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS;5;5;0,385;54;5;2010
JOURNAL OF MARKETING RESEARCH;5;5;0,333;243;5;2008
LANDSCAPE ECOLOGY;5;5;0,313;722;5;2007
MANAGEMENT SCIENCE;5;5;0,217;191;5;2000
PHYSICS LETTERS A;5;5;0,455;66;5;2012
POLYMER;5;5;0,227;208;5;2001
ROYAL SOCIETY OPEN SCIENCE;5;11;0,625;128;11;2015
SIAM JOURNAL ON APPLIED MATHEMATICS;5;7;0,192;166;7;1997
SPE JOURNAL;5;7;0,192;145;7;1997
TETSU TO HAGANE-JOURNAL OF THE IRON AND STEEL INSTITUTE OF JAPAN;5;8;0,313;66;8;2007
AI COMMUNICATIONS;4;4;0,364;33;4;2012
AICHE JOURNAL;4;4;0,308;75;4;2010
AMERICAN JOURNAL OF EPIDEMIOLOGY;4;5;0,222;267;5;2005
ANNALS OF REGIONAL SCIENCE;4;4;0,133;48;4;1993
APPLIED ARTIFICIAL INTELLIGENCE;4;7;0,143;63;8;1995
APPLIED SCIENCES-BASEL;4;5;0,500;39;10;2015
AUTOMATION IN CONSTRUCTION;4;4;0,333;82;4;2011
BUILDING AND ENVIRONMENT;4;4;0,364;252;4;2012
BULLETIN OF MATHEMATICAL BIOLOGY;4;4;0,200;119;4;2003
CHEMOSPHERE;4;5;0,250;59;5;2007
CHINESE PHYSICS B;4;4;0,444;25;8;2014
COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION;4;9;0,286;139;9;2009
ENERGIES;4;5;1,000;29;6;2019
ENERGY AND BUILDINGS;4;6;0,364;183;6;2012
ENVIRONMENTAL RESEARCH LETTERS;4;4;0,500;59;4;2015
EPL;4;4;0,286;118;4;2009
FRONTIERS IN HUMAN NEUROSCIENCE;4;4;0,364;238;4;2012
GAMES AND ECONOMIC BEHAVIOR;4;4;0,182;212;4;2001
IEEE ROBOTICS AND AUTOMATION LETTERS;4;6;1,000;74;6;2019
IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING;4;4;0,308;150;4;2010
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY;4;5;0,286;154;5;2009
IEEE TRANSACTIONS ON ROBOTICS;4;5;0,267;186;5;2008
IEEE TRANSACTIONS ON SIGNAL PROCESSING;4;4;0,364;168;4;2012
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS;4;4;0,154;76;4;1997
IET GENERATION TRANSMISSION & DISTRIBUTION;4;4;0,333;77;4;2011
INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS;4;4;0,235;53;4;2006
INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;4;6;0,667;56;6;2017
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES;4;4;0,211;57;4;2004
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH;4;5;0,167;283;5;1999
INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH;4;5;0,250;70;5;2007
ISA TRANSACTIONS;4;4;1,000;46;4;2019
JOURNAL OF APPLIED ECOLOGY;4;5;0,133;79;5;1993
JOURNAL OF CLEANER PRODUCTION;4;5;0,364;189;5;2012
JOURNAL OF COMPUTATIONAL SCIENCE;4;5;0,364;34;7;2012
JOURNAL OF ECONOMETRICS;4;4;0,286;187;4;2009
JOURNAL OF ECONOMIC INTERACTION AND COORDINATION;4;8;0,267;68;12;2008
JOURNAL OF EVOLUTIONARY ECONOMICS;4;5;0,190;200;5;2002
JOURNAL OF SIMULATION;4;6;0,308;46;7;2010
JOURNAL OF STATISTICAL PHYSICS;4;6;0,286;117;6;2009
JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION;4;4;0,160;160;4;1998
LAND USE POLICY;4;5;0,333;128;5;2011
MATHEMATICAL PROBLEMS IN ENGINEERING;4;4;0,333;24;8;2011
MIS QUARTERLY;4;4;0,211;358;4;2004
NEURAL COMPUTATION;4;5;0,667;144;5;2017
NEUROIMAGE;4;4;0,308;73;4;2010
OPTICS EXPRESS;4;5;0,267;68;5;2008
PROCEEDINGS OF THE IEEE;4;4;0,235;86;4;2006
RISK ANALYSIS;4;4;0,211;66;4;2004
SCIENCE CHINA-INFORMATION SCIENCES;4;5;0,571;43;5;2016
SIAM JOURNAL ON CONTROL AND OPTIMIZATION;4;4;0,400;67;4;2013
SOCIAL NETWORKS;4;4;0,200;193;4;2003
SUSTAINABILITY;4;6;0,333;45;11;2011
SYMMETRY-BASEL;4;4;0,800;43;4;2018
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE;4;5;0,800;48;5;2018
ULTRASOUND IN MEDICINE AND BIOLOGY;4;4;0,174;104;4;2000
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS;3;3;0,214;12;3;2009
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY;3;4;0,300;29;4;2013
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION;3;4;0,200;56;4;2008
ACTA PHYSICA SINICA;3;3;0,231;13;4;2010
ADVANCES IN CIVIL ENGINEERING;3;4;0,600;18;4;2018
AGRICULTURAL SYSTEMS;3;3;0,167;128;3;2005
AMERICAN JOURNAL OF SOCIOLOGY;3;3;0,167;329;3;2005
AMERICAN NATURALIST;3;3;0,375;32;3;2015
ANNALS OF PHARMACOTHERAPY;3;3;0,231;74;3;2010
ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS;3;4;0,188;134;4;2007
APPLIED INTELLIGENCE;3;3;0,136;15;4;2001
APPLIED MATHEMATICS AND COMPUTATION;3;6;0,375;56;6;2015
APPLIED SOFT COMPUTING;3;4;0,167;93;4;2005
ATMOSPHERIC CHEMISTRY AND PHYSICS;3;3;0,200;134;3;2008
BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES;3;4;0,273;26;4;2012
BIOMECHANICS AND MODELING IN MECHANOBIOLOGY;3;3;0,273;56;3;2012
BIOSYSTEMS;3;4;0,200;85;4;2008
BMC INFECTIOUS DISEASES;3;3;0,250;31;3;2011
BRAIN RESEARCH;3;3;0,130;104;3;2000
BRITISH JOURNAL OF SOCIAL PSYCHOLOGY;3;3;0,214;76;3;2009
CEMENT & CONCRETE COMPOSITES;3;3;0,250;167;3;2011
CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE;3;3;0,120;13;3;1998
CHINESE JOURNAL OF AERONAUTICS;3;3;0,500;88;3;2017
CHINESE JOURNAL OF PHYSICS;3;3;0,429;9;3;2016
COGNITION;3;3;0,214;41;3;2009
COMPOSITES PART B-ENGINEERING;3;3;0,429;42;3;2016
COMPUTERS & MATHEMATICS WITH APPLICATIONS;3;3;0,250;38;3;2011
CONNECTION SCIENCE;3;3;0,167;56;3;2005
DEMOGRAPHIC RESEARCH;3;3;0,188;94;3;2007
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B;3;3;0,750;13;3;2019
DISCRETE DYNAMICS IN NATURE AND SOCIETY;3;4;0,136;23;6;2001
ECOLOGICAL ECONOMICS;3;3;0,600;53;3;2018
ECOLOGICAL INFORMATICS;3;4;0,200;192;4;2008
ECONOMIC THEORY;3;4;0,111;74;4;1996
ECOSPHERE;3;3;0,333;83;3;2014
ELECTROPHORESIS;3;3;0,125;38;3;1999
ENERGY & FUELS;3;3;0,188;49;3;2007
FRONTIERS IN PHYSICS;3;4;0,600;23;5;2018
FRONTIERS IN ROBOTICS AND AI;3;3;0,500;32;3;2017
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS;3;5;0,250;128;5;2011
HYDROMETALLURGY;3;4;0,120;80;4;1998
IEEE INTERNET OF THINGS JOURNAL;3;4;1,000;21;4;2020
IEEE SYSTEMS JOURNAL;3;4;0,273;21;4;2012
IEEE TRANSACTIONS ON AFFECTIVE COMPUTING;3;3;0,231;80;3;2010
IEEE TRANSACTIONS ON AUTONOMOUS MENTAL DEVELOPMENT;3;3;0,231;55;3;2010
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS;3;3;0,333;20;3;2014
IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS;3;4;0,600;17;4;2018
IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS;3;5;0,600;32;5;2018
IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS;3;4;0,750;71;4;2019
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING;3;3;0,500;77;3;2017
IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING;3;3;0,500;32;3;2017
IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS;3;3;0,375;284;3;2015
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL;3;3;0,176;50;3;2006
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY;3;3;0,429;29;3;2016
INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES;3;5;0,300;49;5;2013
INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS;3;4;0,200;24;8;2008
INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY AND THERAPEUTICS;3;3;0,097;19;3;1992
INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS;3;3;0,273;37;3;2012
INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT;3;3;0,176;63;3;2006
INVESTIGATIVE RADIOLOGY;3;3;0,188;212;3;2007
ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION;3;3;0,750;19;3;2019
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT;3;3;0,214;117;3;2009
JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME;3;3;0,231;27;3;2010
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY;3;5;0,143;64;5;2002
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL;3;4;0,200;77;4;2008
JOURNAL OF FLUID MECHANICS;3;3;0,300;22;3;2013
JOURNAL OF HYDROINFORMATICS;3;3;0,176;26;3;2006
JOURNAL OF MACHINE LEARNING RESEARCH;3;3;0,158;63;3;2004
JOURNAL OF MATHEMATICAL BIOLOGY;3;3;0,214;104;3;2009
JOURNAL OF MATHEMATICAL SOCIOLOGY;3;4;0,107;35;4;1995
JOURNAL OF PHYSICAL CHEMISTRY A;3;3;0,333;40;3;2014
JOURNAL OF POLYMER SCIENCE PART A-POLYMER CHEMISTRY;3;3;0,125;90;3;1999
JOURNAL OF PRODUCT INNOVATION MANAGEMENT;3;3;0,250;257;3;2011
JOURNAL OF SYSTEMS SCIENCE & COMPLEXITY;3;5;0,250;31;8;2011
JOURNAL OF THE ELECTROCHEMICAL SOCIETY;3;4;0,136;77;4;2001
JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS;3;3;0,143;21;3;2002
KINETIC AND RELATED MODELS;3;4;0,333;69;4;2014
KNOWLEDGE-BASED SYSTEMS;3;5;0,107;30;5;1995
LEADERSHIP QUARTERLY;3;3;0,231;166;3;2010
MACROECONOMIC DYNAMICS;3;5;0,130;69;5;2000
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING;3;3;0,176;245;3;2006
MATHEMATICAL BIOSCIENCES;3;3;0,429;34;3;2016
MATHEMATICS AND COMPUTERS IN SIMULATION;3;3;0,750;30;3;2019
MEDICINAL CHEMISTRY RESEARCH;3;3;0,300;27;3;2013
MULTIMEDIA TOOLS AND APPLICATIONS;3;3;0,250;17;3;2011
NATURE;3;3;0,120;784;3;1998
NEURAL NETWORKS;3;4;0,200;181;4;2008
NEUROSCIENCE;3;3;0,150;152;3;2003
NEW JOURNAL OF PHYSICS;3;5;0,231;45;5;2010
PEDIATRIC ANESTHESIA;3;3;0,231;48;3;2010
PEERJ;3;4;0,300;27;4;2013
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;3;5;0,167;108;5;2005
PHYSICAL CHEMISTRY CHEMICAL PHYSICS;3;3;0,429;21;3;2016
PHYSICS IN MEDICINE AND BIOLOGY;3;4;0,250;94;4;2011
PHYSIOLOGY & BEHAVIOR;3;3;0,100;76;3;1993
POLYMER DEGRADATION AND STABILITY;3;3;0,150;72;3;2003
POLYMER INTERNATIONAL;3;3;0,115;37;3;1997
POLYMERS;3;4;0,750;30;4;2019
POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY;3;3;0,300;54;3;2013
QUANTITATIVE FINANCE;3;3;0,150;241;3;2003
SCIENTOMETRICS;3;3;0,250;19;3;2011
SENSORS AND ACTUATORS B-CHEMICAL;3;4;0,176;49;4;2006
SOCIAL SCIENCE COMPUTER REVIEW;3;5;0,136;34;5;2001
SOFT MATTER;3;3;0,429;30;3;2016
SYNTHESE;3;4;0,333;24;4;2014
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE;3;3;0,300;18;3;2013
TALANTA;3;3;0,214;61;3;2009
TOPICS IN COGNITIVE SCIENCE;3;3;0,333;38;3;2014
TRANSACTIONS IN GIS;3;3;0,250;58;3;2011
TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL;3;5;0,500;35;5;2017
TRANSPORTATION LETTERS-THE INTERNATIONAL JOURNAL OF TRANSPORTATION RESEARCH;3;4;0,273;37;4;2012
TRANSPORTATION RESEARCH RECORD;3;3;0,214;142;3;2009
TRANSPORTMETRICA B-TRANSPORT DYNAMICS;3;3;0,500;20;3;2017
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY;3;3;0,429;28;3;2016
WATER RESOURCES MANAGEMENT;3;3;0,500;20;3;2017
WATER RESOURCES RESEARCH;3;3;0,250;87;3;2011
ACCIDENT ANALYSIS AND PREVENTION;2;3;0,065;54;3;1992
ACS APPLIED MATERIALS & INTERFACES;2;2;0,200;544;2;2013
ACS NANO;2;2;0,333;37;2;2017
ACTA ANAESTHESIOLOGICA SCANDINAVICA;2;2;0,125;60;2;2007
ADVANCED ENGINEERING INFORMATICS;2;2;0,182;16;2;2012
ADVANCED ROBOTICS;2;3;0,125;16;3;2007
AEROSPACE SCIENCE AND TECHNOLOGY;2;3;0,286;61;3;2016
AMERICAN HEART JOURNAL;2;2;0,063;29;2;1991
