Document;DOI;Year;Local Citations;Global Citations;LC/GC Ratio (%);Normalized Local Citations;Normalized Global Citations
SZABO G, 2007, PHYS REP;10.1016/j.physrep.2007.04.004;2007;496;2013;24.64;41.08;39.45
SZABO G, 1998, PHYS REV E;10.1103/PhysRevE.58.69;1998;407;1086;37.48;17.99;5.87
HAUERT C, 2004, NATURE;10.1038/nature02360;2004;337;1061;31.76;34.72;13.38
NOWAK M, 1993, NATURE;10.1038/364056a0;1993;307;1022;30.04;9.56;7.04
NOWAK MA, 1998, NATURE;10.1038/31225;1998;230;1529;15.04;10.17;8.26
DOEBELI M, 2005, ECOL LETT;10.1111/j.1461-0248.2005.00773.x;2005;200;562;35.59;15.31;8.72
PERC M, 2017, PHYS REP;10.1016/j.physrep.2017.05.004;2017;169;801;21.10;36.20;41.28
ROCA CP, 2009, PHYS LIFE REV;10.1016/j.plrev.2009.08.001;2009;165;525;31.43;22.22;9.98
SZABO G, 2005, PHYS REV E;10.1103/PhysRevE.72.047107;2005;164;393;41.73;12.55;6.10
CHEN XJ, 2008, PHYS REV E;10.1103/PhysRevE.77.017103;2008;112;270;41.48;13.05;6.42
SZOLNOKI A, 2008, PHYSICA A;10.1016/j.physa.2007.11.021;2008;110;228;48.25;12.82;5.42
SZABO G, 2002, PHYS REV E;10.1103/PhysRevE.66.062903;2002;96;208;46.15;10.76;2.67
MACY MW, 2002, P NATL ACAD SCI USA;10.1073/pnas.092080099;2002;96;340;28.24;10.76;4.37
DAL BO P, 2005, AM ECON REV;;2005;93;301;30.90;7.12;4.67
GRACIA-LAZARO C, 2012, P NATL ACAD SCI USA;10.1073/pnas.1206681109;2012;92;231;39.83;16.66;9.09
COOPER R, 1996, GAME ECON BEHAV;10.1006/game.1996.0013;1996;90;210;42.86;7.58;1.89
WANG Z, 2015, PHYS LIFE REV;10.1016/j.plrev.2015.04.033;2015;86;312;27.56;24.02;18.25
SALLY D, 1995, RATION SOC;10.1177/1043463195007001004;1995;79;612;12.91;8.35;8.01
REN J, 2007, PHYS REV E;10.1103/PhysRevE.75.045101;2007;68;149;45.64;5.63;2.92
TRAULSEN A, 2010, P NATL ACAD SCI USA;10.1073/pnas.0912515107;2010;67;259;25.87;11.68;7.53
FU F, 2009, PHYS REV E;10.1103/PhysRevE.79.036101;2009;64;168;38.10;8.62;3.20
GRUJIC J, 2010, PLOS ONE;10.1371/journal.pone.0013749;2010;62;155;40.00;10.81;4.51
HUBERMAN BA, 1993, P NATL ACAD SCI USA;10.1073/pnas.90.16.7716;1993;58;336;17.26;1.81;2.32
ROCA CP, 2009, PHYS REV E;10.1103/PhysRevE.80.046106;2009;58;149;38.93;7.81;2.83
NAKAMARU M, 1997, J THEOR BIOL;10.1006/jtbi.1996.0243;1997;57;246;23.17;9.04;5.27